Indicator,Disaggregations,Number of disaggregations
#1-2-1,"URBANISATION, REF_AREA",2
#10-4-1,"TIME_DETAIL, REF_AREA, SOURCE_DETAIL",3
#2-2-1,"URBANISATION, SEX, TIME_DETAIL, REF_AREA, INCOME_WEALTH_QUANTILE",5
#2-2-2,"URBANISATION, SEX, TIME_DETAIL, REF_AREA, INCOME_WEALTH_QUANTILE",5
#3-1-1,"URBANISATION, SEX, TIME_DETAIL, REF_AREA",4
#3-1-2,"URBANISATION, TIME_DETAIL, REF_AREA, SOURCE_DETAIL",4
#3-2-1,"TIME_DETAIL, REF_AREA",2
#3-2-2,"URBANISATION, TIME_DETAIL, REF_AREA, SOURCE_DETAIL",4
#3-3-1,"URBANISATION, SEX, TIME_DETAIL, REF_AREA, INCOME_WEALTH_QUANTILE",5
#3-3-2,"URBANISATION, SEX, AGE, TIME_DETAIL, REF_AREA, INCOME_WEALTH_QUANTILE",6
#3-a-1,SEX,1
#4-1-1-1,"URBANISATION, SEX, TIME_DETAIL, REF_AREA",4
#4-1-1-2,"URBANISATION, SEX, TIME_DETAIL, REF_AREA",4
#4-3-1,SEX,1
#4-5-1,URBANISATION,1
#4-5-2,"URBANISATION, REF_AREA",2
#4-6-1,"SEX, AGE, TIME_DETAIL",3
#6-1-1,"URBANISATION, COMPOSITE_BREAKDOWN",2
#6-2-1,"URBANISATION, COMPOSITE_BREAKDOWN",2
#7-1-1,URBANISATION,1
