Value,en,km,Disaggregation combinations using this value,Number of indicators
M0,under 1 month old,អាយុក្រោម ១ ខែ,33,1
Y_GE15,15 years old and over,អាយុ ១៥ ឆ្នាំឡើងទៅ,7,4
Y_GE18,18 years old and over,អាយុ ១៨ ឆ្នាំឡើងទៅ,1,1
Y_GE6,6 years old and over,អាយុ ៦ ឆ្នាំឡើងទៅ,3,1
Y_GE65,65 years old and over,អាយុ ៦៥ ឆ្នាំឡើងទៅ,3,1
Y_GE7,7 years old and over,អាយុ ៧ ឆ្នាំឡើងទៅ,3,1
Y0,under 1 year old,អាយុក្រោម ១ ឆ្នាំ,10,1
Y0T17,under 18 years old,អាយុក្រោម ១៨ ឆ្នាំ,1,1
Y0T4,under 5 years old,អាយុក្រោម ៥ ឆ្នាំ,99,3
Y13T15,13 to 15 years old,អាយុពី ១៣ ទៅ ១៥ ឆ្នាំ,1,1
Y15T19,15 to 19 years old,អាយុពី ១៥ ទៅ ១៩ ឆ្នាំ,1,1
Y15T24,15 to 24 years old,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,4,2
Y15T49,15 to 49 years old,អាយុពី ១៥ ទៅ ៤៩ ឆ្នាំ,2,2
Y18T21,18 to 21 years old,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,3,1
Y20T24,20 to 24 years old,អាយុពី ២០ ទៅ ២៤ ឆ្នាំ,1,1
Y25T34,25 to 34 years old,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,3,1
Y35T44,35 to 44 years old,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,3,1
Y45T54,45 to 54 years old,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,3,1
Y55T64,55 to 64 years old,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,3,1
Y6T14,6 to 14 years old,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,3,1
Y7T14,7 to 14 years old,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,3,1
