Year,Source details,Reference area,Degree of urbanisation,Time period details,Value
2000,MoH_Health Management Information System,Cambodia,,2018,31.8
2005,MoH_Health Management Information System,Cambodia,,2018,43.8
2010,MoH_Health Management Information System,Cambodia,,2018,71.0
2014,MoH_Health Management Information System,Cambodia,,2018,89.0
2015,MoH_Health Management Information System,Cambodia,,2018,89.0
2016,MoH_Health Management Information System,Cambodia,,2018,85.0
2017,MoH_Health Management Information System,Cambodia,,2018,89.0
2018,MoH_Health Management Information System,Cambodia,,2018,87.3
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Urban,2014,57.2
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Urban,2014,70.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Urban,2014,94.7
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Urban,2014,97.8
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Rural,2014,28.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Rural,2014,39.4
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Rural,2014,66.6
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Cambodia,Rural,2014,87.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2014,36.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2014,33.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2014,69.0
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2014,95.8
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2014,22.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2014,45.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2014,67.9
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2014,91.5
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Chhnang,,2014,16.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Chhnang,,2014,37.2
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Chhnang,,2014,59.8
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Chhnang,,2014,97.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Speu,,2014,15.1
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Speu,,2014,22.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Speu,,2014,68.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Speu,,2014,89.3
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Thom,,2014,15.4
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Thom,,2014,24.5
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Thom,,2014,47.7
