Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Time period details,Value
2000,Cambodia,Female,under 1 month old,,,2014,34.1
2005,Cambodia,Female,under 1 month old,,,2014,30.0
2010,Cambodia,Female,under 1 month old,,,2014,27.0
2014,Cambodia,Female,under 1 month old,,,2014,20.0
2000,Cambodia,Female,under 1 year old,,,2014,34.1
2005,Cambodia,Female,under 1 year old,,,2014,30.0
2010,Cambodia,Female,under 1 year old,,,2014,27.0
2014,Cambodia,Female,under 1 year old,,,2014,20.0
2000,Cambodia,Male,under 1 month old,,,2014,44.0
2005,Cambodia,Male,under 1 month old,,,2014,42.0
2010,Cambodia,Male,under 1 month old,,,2014,36.0
2014,Cambodia,Male,under 1 month old,,,2014,22.0
2000,Cambodia,Male,under 1 year old,,,2014,44.0
2005,Cambodia,Male,under 1 year old,,,2014,42.0
2010,Cambodia,Male,under 1 year old,,,2014,36.0
2014,Cambodia,Male,under 1 year old,,,2014,22.0
2000,Cambodia,,under 1 month old,,,2014,37.3
2005,Cambodia,,under 1 month old,,,2014,28.0
2010,Cambodia,,under 1 month old,,,2014,27.0
2014,Cambodia,,under 1 month old,,,2014,18.0
2005,Cambodia,,under 1 month old,,Quintile 1 (poorest),2014,34.0
2010,Cambodia,,under 1 month old,,Quintile 1 (poorest),2014,39.0
2014,Cambodia,,under 1 month old,,Quintile 1 (poorest),2014,27.0
2005,Cambodia,,under 1 month old,,Quintile 2,2014,45.0
2010,Cambodia,,under 1 month old,,Quintile 2,2014,34.0
2014,Cambodia,,under 1 month old,,Quintile 2,2014,23.0
2005,Cambodia,,under 1 month old,,Quintile 3,2014,38.0
2010,Cambodia,,under 1 month old,,Quintile 3,2014,35.0
2014,Cambodia,,under 1 month old,,Quintile 3,2014,24.0
2005,Cambodia,,under 1 month old,,Quintile 4,2014,38.0
2010,Cambodia,,under 1 month old,,Quintile 4,2014,26.0
2014,Cambodia,,under 1 month old,,Quintile 4,2014,18.0
2005,Cambodia,,under 1 month old,,Quintile 5 (richest),2014,22.0
2010,Cambodia,,under 1 month old,,Quintile 5 (richest),2014,16.0
2014,Cambodia,,under 1 month old,,Quintile 5 (richest),2014,12.0
2000,Cambodia,,under 1 month old,Urban,,2014,27.0
2005,Cambodia,,under 1 month old,Urban,,2014,29.0
2010,Cambodia,,under 1 month old,Urban,,2014,11.0
2014,Cambodia,,under 1 month old,Urban,,2014,10.0
2000,Cambodia,,under 1 month old,Rural,,2014,40.9
2005,Cambodia,,under 1 month old,Rural,,2014,37.0
2010,Cambodia,,under 1 month old,Rural,,2014,35.0
2014,Cambodia,,under 1 month old,Rural,,2014,23.0
2000,Cambodia,,under 1 year old,,,2014,37.3
2005,Cambodia,,under 1 year old,,,2014,28.0
2010,Cambodia,,under 1 year old,,,2014,27.0
2014,Cambodia,,under 1 year old,,,2014,18.0
2005,Cambodia,,under 1 year old,,Quintile 1 (poorest),2014,34.0
2010,Cambodia,,under 1 year old,,Quintile 1 (poorest),2014,39.0
2014,Cambodia,,under 1 year old,,Quintile 1 (poorest),2014,27.0
