Year,Value,SERIES
2005,1769327,"9.1.2 Air transport, international passengers carried"
2006,2340235,"9.1.2 Air transport, international passengers carried"
2007,2979116,"9.1.2 Air transport, international passengers carried"
2008,2878513,"9.1.2 Air transport, international passengers carried"
2009,2524294,"9.1.2 Air transport, international passengers carried"
2010,3051601,"9.1.2 Air transport, international passengers carried"
2011,3480843,"9.1.2 Air transport, international passengers carried"
2012,3997331,"9.1.2 Air transport, international passengers carried"
2013,4606281,"9.1.2 Air transport, international passengers carried"
2014,5168687,"9.1.2 Air transport, international passengers carried"
2015,5606317,"9.1.2 Air transport, international passengers carried"
2016,6201338,"9.1.2 Air transport, international passengers carried"
2017,6877284,"9.1.2 Air transport, international passengers carried"
2018,7626908,"9.1.2 Air transport, international passengers carried"
2019,8458241,"9.1.2 Air transport, international passengers carried"
2020,9380189,"9.1.2 Air transport, international passengers carried"
2005,158384,"9.1.2 Air transport, domestic passengers carried"
2006,159478,"9.1.2 Air transport, domestic passengers carried"
2007,187066,"9.1.2 Air transport, domestic passengers carried"
2008,182328,"9.1.2 Air transport, domestic passengers carried"
2009,143649,"9.1.2 Air transport, domestic passengers carried"
2010,136678,"9.1.2 Air transport, domestic passengers carried"
2011,144465,"9.1.2 Air transport, domestic passengers carried"
2012,172223,"9.1.2 Air transport, domestic passengers carried"
2013,214418,"9.1.2 Air transport, domestic passengers carried"
2014,298904,"9.1.2 Air transport, domestic passengers carried"
2015,436167,"9.1.2 Air transport, domestic passengers carried"
2016,423478,"9.1.2 Air transport, domestic passengers carried"
2017,432795,"9.1.2 Air transport, domestic passengers carried"
2018,442316,"9.1.2 Air transport, domestic passengers carried"
2019,452047,"9.1.2 Air transport, domestic passengers carried"
2020,461992,"9.1.2 Air transport, domestic passengers carried"
