Year,REF_AREA,TIME_DETAIL,Value
2000,KH,2019,437.0
2005,KH,2019,472.0
2008,KH,2019,460.84
2010,KH,2019,206.0
2014,KH,2019,170.0
2019,KH,2019,141.0
2008,KH01,2008,263.5
2008,KH02,2008,219.41
2008,KH03,2008,451.02
2008,KH04,2008,277.22
2008,KH05,2008,460.78
2008,KH06,2008,590.68
2008,KH07,2008,823.4
2008,KH08,2008,305.06
2008,KH23,2008,1388.13
2008,KH09,2008,1113.26
2008,KH10,2008,491.03
2008,KH11,2008,1498.75
2008,KH22,2008,257.07
2008,KH24,2008,630.63
2008,KH12,2008,298.42
2008,KH18,2008,806.45
2008,KH13,2008,476.33
2008,KH14,2008,613.66
2008,KH15,2008,269.49
2008,KH16,2008,1441.73
2008,KH17,2008,366.0
2008,KH19,2008,423.53
2008,KH20,2008,558.84
2008,KH21,2008,568.85
