Year,SEX,AGE,TIME_DETAIL,Value
2014,F,Y6T14,2019-2020,66.4
2015,F,Y6T14,2019-2020,72.3
2016,F,Y6T14,2019-2020,74.9
2017,F,Y6T14,2019-2020,71.0
2019,F,Y6T14,2019-2020,78.2
2014,F,Y_GE6,2019-2020,70.8
2015,F,Y_GE6,2019-2020,74.5
2016,F,Y_GE6,2019-2020,78.4
2017,F,Y_GE6,2019-2020,76.7
2019,F,Y_GE6,2019-2020,77.3
2004,F,Y7T14,2013,62.5
2007,F,Y7T14,2013,66.1
2008,F,Y7T14,2013,67.9
2009,F,Y7T14,2013,70.3
2010,F,Y7T14,2013,73.2
2011,F,Y7T14,2013,71.8
2012,F,Y7T14,2013,61.2
2013,F,Y7T14,2013,64.5
2004,F,Y_GE7,2013,60.5
2007,F,Y_GE7,2013,66.0
2008,F,Y_GE7,2013,67.7
2009,F,Y_GE7,2013,66.8
2010,F,Y_GE7,2013,69.9
2011,F,Y_GE7,2013,72.5
2012,F,Y_GE7,2013,70.6
2013,F,Y_GE7,2013,72.5
2004,F,Y15T24,2019-2020,76.8
2007,F,Y15T24,2019-2020,84.4
2008,F,Y15T24,2019-2020,87.9
2009,F,Y15T24,2019-2020,85.8
2010,F,Y15T24,2019-2020,88.2
2011,F,Y15T24,2019-2020,91.3
2012,F,Y15T24,2019-2020,91.3
2013,F,Y15T24,2019-2020,92.8
2014,F,Y15T24,2019-2020,90.4
2015,F,Y15T24,2019-2020,92.6
2016,F,Y15T24,2019-2020,95.9
2017,F,Y15T24,2019-2020,95.7
2019,F,Y15T24,2019-2020,95.1
2004,F,Y_GE15,2019-2020,59.9
2007,F,Y_GE15,2019-2020,66.0
2008,F,Y_GE15,2019-2020,67.7
2009,F,Y_GE15,2019-2020,65.9
2010,F,Y_GE15,2019-2020,69.1
2011,F,Y_GE15,2019-2020,72.6
2012,F,Y_GE15,2019-2020,73.2
2013,F,Y_GE15,2019-2020,74.4
2014,F,Y_GE15,2019-2020,71.8
2015,F,Y_GE15,2019-2020,75.0
2016,F,Y_GE15,2019-2020,79.3
2017,F,Y_GE15,2019-2020,78.1
2019,F,Y_GE15,2019-2020,77.1
2004,F,Y25T34,2019-2020,63.7
2007,F,Y25T34,2019-2020,69.9
2008,F,Y25T34,2019-2020,71.7
2009,F,Y25T34,2019-2020,69.0
2010,F,Y25T34,2019-2020,74.9
2011,F,Y25T34,2019-2020,79.2
2012,F,Y25T34,2019-2020,78.3
2013,F,Y25T34,2019-2020,82.0
2014,F,Y25T34,2019-2020,79.1
2015,F,Y25T34,2019-2020,82.1
2016,F,Y25T34,2019-2020,87.5
2017,F,Y25T34,2019-2020,85.7
2019,F,Y25T34,2019-2020,88.0
2004,F,Y35T44,2019-2020,56.6
2007,F,Y35T44,2019-2020,64.1
2008,F,Y35T44,2019-2020,67.0
2009,F,Y35T44,2019-2020,63.5
2010,F,Y35T44,2019-2020,66.8
2011,F,Y35T44,2019-2020,69.3
2012,F,Y35T44,2019-2020,74.2
2013,F,Y35T44,2019-2020,73.8
2014,F,Y35T44,2019-2020,67.8
2015,F,Y35T44,2019-2020,71.9
2016,F,Y35T44,2019-2020,76.4
2017,F,Y35T44,2019-2020,71.2
2019,F,Y35T44,2019-2020,75.2
2004,F,Y_GE65,2019-2020,14.3
2007,F,Y_GE65,2019-2020,17.1
2008,F,Y_GE65,2019-2020,19.6
2009,F,Y_GE65,2019-2020,18.6
2010,F,Y_GE65,2019-2020,22.4
2011,F,Y_GE65,2019-2020,25.9
2012,F,Y_GE65,2019-2020,26.1
2013,F,Y_GE65,2019-2020,27.1
2014,F,Y_GE65,2019-2020,28.4
2015,F,Y_GE65,2019-2020,36.8
2016,F,Y_GE65,2019-2020,39.8
2017,F,Y_GE65,2019-2020,39.0
2019,F,Y_GE65,2019-2020,44.0
2004,F,Y45T54,2019-2020,54.6
2007,F,Y45T54,2019-2020,59.4
2008,F,Y45T54,2019-2020,58.9
2009,F,Y45T54,2019-2020,54.6
2010,F,Y45T54,2019-2020,58.5
2011,F,Y45T54,2019-2020,62.6
2012,F,Y45T54,2019-2020,61.9
2013,F,Y45T54,2019-2020,62.3
2014,F,Y45T54,2019-2020,57.1
2015,F,Y45T54,2019-2020,64.0
2016,F,Y45T54,2019-2020,67.1
2017,F,Y45T54,2019-2020,69.3
2019,F,Y45T54,2019-2020,68.0
2004,F,Y55T64,2019-2020,37.2
2007,F,Y55T64,2019-2020,45.4
2008,F,Y55T64,2019-2020,47.6
2009,F,Y55T64,2019-2020,51.2
2010,F,Y55T64,2019-2020,49.8
2011,F,Y55T64,2019-2020,54.9
2012,F,Y55T64,2019-2020,56.2
2013,F,Y55T64,2019-2020,59.7
2014,F,Y55T64,2019-2020,55.9
2015,F,Y55T64,2019-2020,58.5
2016,F,Y55T64,2019-2020,65.1
2017,F,Y55T64,2019-2020,63.6
2019,F,Y55T64,2019-2020,57.2
2014,M,Y6T14,2019-2020,62.1
2015,M,Y6T14,2019-2020,65.0
2016,M,Y6T14,2019-2020,73.3
2017,M,Y6T14,2019-2020,72.5
2019,M,Y6T14,2019-2020,74.6
2014,M,Y_GE6,2019-2020,80.1
2015,M,Y_GE6,2019-2020,81.7
2016,M,Y_GE6,2019-2020,86.3
2017,M,Y_GE6,2019-2020,84.0
2019,M,Y_GE6,2019-2020,84.4
2004,M,Y7T14,2013,60.4
2007,M,Y7T14,2013,62.5
2008,M,Y7T14,2013,68.0
2009,M,Y7T14,2013,66.6
2010,M,Y7T14,2013,65.9
2011,M,Y7T14,2013,68.6
2012,M,Y7T14,2013,62.2
2013,M,Y7T14,2013,61.1
2004,M,Y_GE7,2013,74.8
2007,M,Y_GE7,2013,79.7
2008,M,Y_GE7,2013,80.7
2009,M,Y_GE7,2013,79.1
2010,M,Y_GE7,2013,80.9
2011,M,Y_GE7,2013,83.7
2012,M,Y_GE7,2013,81.1
2013,M,Y_GE7,2013,81.7
2004,M,Y15T24,2019-2020,84.1
2007,M,Y15T24,2019-2020,91.3
2008,M,Y15T24,2019-2020,89.6
2009,M,Y15T24,2019-2020,88.3
2010,M,Y15T24,2019-2020,89.4
2011,M,Y15T24,2019-2020,91.6
2012,M,Y15T24,2019-2020,92.8
2013,M,Y15T24,2019-2020,93.1
2014,M,Y15T24,2019-2020,89.9
2015,M,Y15T24,2019-2020,91.9
2016,M,Y15T24,2019-2020,95.0
2017,M,Y15T24,2019-2020,93.5
2019,M,Y15T24,2019-2020,93.1
2004,M,Y_GE15,2019-2020,80.3
2007,M,Y_GE15,2019-2020,85.3
2008,M,Y_GE15,2019-2020,84.6
2009,M,Y_GE15,2019-2020,82.7
2010,M,Y_GE15,2019-2020,85.1
2011,M,Y_GE15,2019-2020,87.8
2012,M,Y_GE15,2019-2020,86.9
2013,M,Y_GE15,2019-2020,87.7
2014,M,Y_GE15,2019-2020,84.8
2015,M,Y_GE15,2019-2020,86.5
2016,M,Y_GE15,2019-2020,90.0
2017,M,Y_GE15,2019-2020,87.3
2019,M,Y_GE15,2019-2020,87.2
2004,M,Y25T34,2019-2020,79.5
2007,M,Y25T34,2019-2020,80.7
2008,M,Y25T34,2019-2020,85.3
2009,M,Y25T34,2019-2020,81.3
2010,M,Y25T34,2019-2020,85.7
2011,M,Y25T34,2019-2020,90.2
2012,M,Y25T34,2019-2020,86.8
2013,M,Y25T34,2019-2020,86.8
2014,M,Y25T34,2019-2020,86.8
2015,M,Y25T34,2019-2020,87.7
2016,M,Y25T34,2019-2020,91.0
2017,M,Y25T34,2019-2020,87.8
2019,M,Y25T34,2019-2020,89.7
2004,M,Y35T44,2019-2020,77.0
2007,M,Y35T44,2019-2020,84.7
2008,M,Y35T44,2019-2020,82.1
2009,M,Y35T44,2019-2020,80.6
2010,M,Y35T44,2019-2020,83.5
2011,M,Y35T44,2019-2020,85.1
2012,M,Y35T44,2019-2020,83.5
2013,M,Y35T44,2019-2020,87.4
2014,M,Y35T44,2019-2020,82.4
2015,M,Y35T44,2019-2020,83.7
2016,M,Y35T44,2019-2020,86.8
2017,M,Y35T44,2019-2020,82.8
2019,M,Y35T44,2019-2020,85.4
2004,M,Y_GE65,2019-2020,64.8
2007,M,Y_GE65,2019-2020,72.6
2008,M,Y_GE65,2019-2020,74.0
2009,M,Y_GE65,2019-2020,70.4
2010,M,Y_GE65,2019-2020,72.5
2011,M,Y_GE65,2019-2020,75.5
2012,M,Y_GE65,2019-2020,75.0
2013,M,Y_GE65,2019-2020,78.8
2014,M,Y_GE65,2019-2020,73.1
2015,M,Y_GE65,2019-2020,76.9
2016,M,Y_GE65,2019-2020,81.3
2017,M,Y_GE65,2019-2020,79.5
2019,M,Y_GE65,2019-2020,78.5
2004,M,Y45T54,2019-2020,81.2
2007,M,Y45T54,2019-2020,81.6
2008,M,Y45T54,2019-2020,81.6
2009,M,Y45T54,2019-2020,77.2
2010,M,Y45T54,2019-2020,79.0
2011,M,Y45T54,2019-2020,83.1
2012,M,Y45T54,2019-2020,82.3
2013,M,Y45T54,2019-2020,82.7
2014,M,Y45T54,2019-2020,77.5
2015,M,Y45T54,2019-2020,81.8
2016,M,Y45T54,2019-2020,85.8
2017,M,Y45T54,2019-2020,81.9
2019,M,Y45T54,2019-2020,85.6
2004,M,Y55T64,2019-2020,81.5
2007,M,Y55T64,2019-2020,87.5
2008,M,Y55T64,2019-2020,80.5
2009,M,Y55T64,2019-2020,83.6
2010,M,Y55T64,2019-2020,86.4
2011,M,Y55T64,2019-2020,84.7
2012,M,Y55T64,2019-2020,85.7
2013,M,Y55T64,2019-2020,82.5
2014,M,Y55T64,2019-2020,80.8
2015,M,Y55T64,2019-2020,81.1
2016,M,Y55T64,2019-2020,85.9
2017,M,Y55T64,2019-2020,82.8
2019,M,Y55T64,2019-2020,76.7
2014,,Y6T14,2019-2020,64.2
2015,,Y6T14,2019-2020,68.5
2016,,Y6T14,2019-2020,74.1
2017,,Y6T14,2019-2020,71.8
2019,,Y6T14,2019-2020,76.4
2014,,Y_GE6,2019-2020,75.3
2015,,Y_GE6,2019-2020,78.0
2016,,Y_GE6,2019-2020,82.3
2017,,Y_GE6,2019-2020,80.3
2019,,Y_GE6,2019-2020,80.7
2004,,Y7T14,2013,61.4
2007,,Y7T14,2013,64.3
2008,,Y7T14,2013,68.0
2009,,Y7T14,2013,68.4
2010,,Y7T14,2013,69.5
2011,,Y7T14,2013,70.1
2012,,Y7T14,2013,61.7
2013,,Y7T14,2013,62.7
2004,,Y_GE7,2013,67.4
2007,,Y_GE7,2013,72.6
2008,,Y_GE7,2013,74.0
2009,,Y_GE7,2013,72.7
2010,,Y_GE7,2013,75.2
2011,,Y_GE7,2013,77.9
2012,,Y_GE7,2013,75.7
2013,,Y_GE7,2013,77.0
2004,,Y15T24,2019-2020,80.4
2007,,Y15T24,2019-2020,87.8
2008,,Y15T24,2019-2020,88.8
2009,,Y15T24,2019-2020,87.1
2010,,Y15T24,2019-2020,88.8
2011,,Y15T24,2019-2020,91.5
2012,,Y15T24,2019-2020,92.1
2013,,Y15T24,2019-2020,93.0
2014,,Y15T24,2019-2020,90.1
2015,,Y15T24,2019-2020,92.2
2016,,Y15T24,2019-2020,95.4
2017,,Y15T24,2019-2020,94.6
2019,,Y15T24,2019-2020,94.1
2004,,Y_GE15,2019-2020,69.4
2007,,Y_GE15,2019-2020,75.1
2008,,Y_GE15,2019-2020,75.6
2009,,Y_GE15,2019-2020,73.9
2010,,Y_GE15,2019-2020,76.7
2011,,Y_GE15,2019-2020,79.9
2012,,Y_GE15,2019-2020,79.7
2013,,Y_GE15,2019-2020,80.7
2014,,Y_GE15,2019-2020,78.1
2015,,Y_GE15,2019-2020,80.5
2016,,Y_GE15,2019-2020,84.4
2017,,Y_GE15,2019-2020,82.5
2019,,Y_GE15,2019-2020,81.9
2004,,Y25T34,2019-2020,71.4
2007,,Y25T34,2019-2020,75.2
2008,,Y25T34,2019-2020,78.4
2009,,Y25T34,2019-2020,74.9
2010,,Y25T34,2019-2020,80.2
2011,,Y25T34,2019-2020,84.6
2012,,Y25T34,2019-2020,82.6
2013,,Y25T34,2019-2020,84.4
2014,,Y25T34,2019-2020,82.9
2015,,Y25T34,2019-2020,84.9
2016,,Y25T34,2019-2020,89.2
2017,,Y25T34,2019-2020,86.8
2019,,Y25T34,2019-2020,88.9
2004,,Y35T44,2019-2020,66.0
