Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2005,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,16908.0
2006,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,22676.0
2007,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,26033.0
2008,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,21985.0
2009,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,15119.0
2010,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,17678.0
2011,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,20083.0
2012,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,27811.0
2013,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,31612.0
2014,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,32666.0
2015,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,36898.0
2016,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,46308.0
2017,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,53856.0
2018,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,62635.0
2019,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,72844.0
2020,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,T,84718.0
2005,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,65.0
2006,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,91.0
2007,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,398.0
2008,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,124.0
2009,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,75.0
2010,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,0.21
2011,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,124.0
2012,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,5.0
2013,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,62.0
2014,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,183.0
2015,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,252.0
2016,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,153.0
2017,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,132.0
2018,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,114.0
2019,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,99.0
2020,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,T,86.0
