Year,REF_AREA,SEX,URBANISATION,TIME_DETAIL,Value
2004,KH,F,,2019-2020,20.0
2005,KH,F,,2019-2020,18.5
2006,KH,F,,2019-2020,35.2
2007,KH,F,,2019-2020,44.2
2008,KH,F,,2019-2020,45.9
2009,KH,F,,2019-2020,47.3
2010,KH,F,,2019-2020,44.3
2011,KH,F,,2019-2020,41.6
2012,KH,F,,2019-2020,40.4
2013,KH,F,,2019-2020,40.0
2014,KH,F,,2019-2020,41.8
2015,KH,F,,2019-2020,41.3
2016,KH,F,,2019-2020,46.0
2017,KH,F,,2019-2020,49.0
2018,KH,F,,2019-2020,50.2
2019,KH,F,,2019-2020,49.5
2004,KH,F,U,2019-2020,37.3
2005,KH,F,U,2019-2020,33.8
2006,KH,F,U,2019-2020,70.1
2007,KH,F,U,2019-2020,79.8
2008,KH,F,U,2019-2020,73.1
2009,KH,F,U,2019-2020,64.8
2010,KH,F,U,2019-2020,55.9
2011,KH,F,U,2019-2020,50.3
2012,KH,F,U,2019-2020,50.9
2013,KH,F,U,2019-2020,50.0
2014,KH,F,U,2019-2020,49.7
2015,KH,F,U,2019-2020,44.7
2016,KH,F,U,2019-2020,46.4
2017,KH,F,U,2019-2020,47.8
2018,KH,F,U,2019-2020,48.3
2019,KH,F,U,2019-2020,48.2
2004,KH,F,R,2019-2020,15.6
2005,KH,F,R,2019-2020,15.2
2006,KH,F,R,2019-2020,29.5
2007,KH,F,R,2019-2020,38.4
2008,KH,F,R,2019-2020,41.5
2009,KH,F,R,2019-2020,43.7
2010,KH,F,R,2019-2020,41.4
2011,KH,F,R,2019-2020,39.5
2012,KH,F,R,2019-2020,37.7
2013,KH,F,R,2019-2020,37.6
2014,KH,F,R,2019-2020,39.8
2015,KH,F,R,2019-2020,40.4
2016,KH,F,R,2019-2020,45.9
2017,KH,F,R,2019-2020,49.3
2018,KH,F,R,2019-2020,50.7
2019,KH,F,R,2019-2020,49.9
2004,KH,F,REMOTE,2008-2009,14.9
2005,KH,F,REMOTE,2008-2009,10.6
2006,KH,F,REMOTE,2008-2009,11.8
2007,KH,F,REMOTE,2008-2009,16.8
2008,KH,F,REMOTE,2008-2009,20.2
2005,KH,M,,2019-2020,20.0
2006,KH,M,,2019-2020,48.8
2007,KH,M,,2019-2020,52.9
2008,KH,M,,2019-2020,52.1
2009,KH,M,,2019-2020,50.0
2010,KH,M,,2019-2020,44.6
2011,KH,M,,2019-2020,42.6
2012,KH,M,,2019-2020,42.2
2013,KH,M,,2019-2020,38.2
2014,KH,M,,2019-2020,38.9
2015,KH,M,,2019-2020,37.3
2016,KH,M,,2019-2020,39.4
2017,KH,M,,2019-2020,40.4
2018,KH,M,,2019-2020,40.7
2019,KH,M,,2019-2020,39.7
2005,KH,M,U,2019-2020,33.4
2006,KH,M,U,2019-2020,81.4
2007,KH,M,U,2019-2020,86.6
2008,KH,M,U,2019-2020,85.1
2009,KH,M,U,2019-2020,71.5
2010,KH,M,U,2019-2020,66.0
2011,KH,M,U,2019-2020,54.8
2012,KH,M,U,2019-2020,52.1
2013,KH,M,U,2019-2020,49.5
2014,KH,M,U,2019-2020,49.5
2015,KH,M,U,2019-2020,44.4
2016,KH,M,U,2019-2020,43.7
2017,KH,M,U,2019-2020,43.4
2018,KH,M,U,2019-2020,43.3
2019,KH,M,U,2019-2020,43.8
2005,KH,M,R,2019-2020,17.1
2006,KH,M,R,2019-2020,43.2
2007,KH,M,R,2019-2020,47.4
2008,KH,M,R,2019-2020,47.1
2009,KH,M,R,2019-2020,45.7
2010,KH,M,R,2019-2020,40.2
2011,KH,M,R,2019-2020,39.8
2012,KH,M,R,2019-2020,37.8
2013,KH,M,R,2019-2020,35.6
2014,KH,M,R,2019-2020,36.3
2015,KH,M,R,2019-2020,35.6
2016,KH,M,R,2019-2020,38.3
2017,KH,M,R,2019-2020,39.6
2018,KH,M,R,2019-2020,40.0
2019,KH,M,R,2019-2020,38.7
2005,KH,M,REMOTE,2008-2009,13.7
2006,KH,M,REMOTE,2008-2009,16.1
2007,KH,M,REMOTE,2008-2009,19.6
2008,KH,M,REMOTE,2008-2009,24.0
2004,KH,,,2019-2020,20.6
