Year,Value,SERIES
2005,16908.0,N_KH_090103_01
2006,22676.0,N_KH_090103_01
2007,26033.0,N_KH_090103_01
2008,21985.0,N_KH_090103_01
2009,15119.0,N_KH_090103_01
2010,17678.0,N_KH_090103_01
2011,20083.0,N_KH_090103_01
2012,27811.0,N_KH_090103_01
2013,31612.0,N_KH_090103_01
2014,32666.0,N_KH_090103_01
2015,36898.0,N_KH_090103_01
2016,46308.0,N_KH_090103_01
2017,53856.0,N_KH_090103_01
2018,62635.0,N_KH_090103_01
2019,72844.0,N_KH_090103_01
2020,84718.0,N_KH_090103_01
2005,65.0,N_KH_090103_02
2006,91.0,N_KH_090103_02
2007,398.0,N_KH_090103_02
2008,124.0,N_KH_090103_02
2009,75.0,N_KH_090103_02
2010,0.21,N_KH_090103_02
2011,124.0,N_KH_090103_02
2012,5.0,N_KH_090103_02
2013,62.0,N_KH_090103_02
2014,183.0,N_KH_090103_02
2015,252.0,N_KH_090103_02
2016,153.0,N_KH_090103_02
2017,132.0,N_KH_090103_02
2018,114.0,N_KH_090103_02
2019,99.0,N_KH_090103_02
2020,86.0,N_KH_090103_02
